,Unnamed: 0,CellID,ClusterID,EventID,file_prefix,Region,TMA_AB,TMA_12,Index in File,groups,patients,spots,CD44 - stroma:Cyc_2_ch_2,FOXP3 - regulatory T cells:Cyc_2_ch_3,CD8 - cytotoxic T cells:Cyc_3_ch_2,p53 - tumor suppressor:Cyc_3_ch_3,GATA3 - Th2 helper T cells:Cyc_3_ch_4,CD45 - hematopoietic cells:Cyc_4_ch_2,T-bet - Th1 cells:Cyc_4_ch_3,beta-catenin - Wnt signaling:Cyc_4_ch_4,HLA-DR - MHC-II:Cyc_5_ch_2,PD-L1 - checkpoint:Cyc_5_ch_3,Ki67 - proliferation:Cyc_5_ch_4,CD45RA - naive T cells:Cyc_6_ch_2,CD4 - T helper cells:Cyc_6_ch_3,CD21 - DCs:Cyc_6_ch_4,MUC-1 - epithelia:Cyc_7_ch_2,CD30 - costimulator:Cyc_7_ch_3,CD2 - T cells:Cyc_7_ch_4,Vimentin - cytoplasm:Cyc_8_ch_2,CD20 - B cells:Cyc_8_ch_3,LAG-3 - checkpoint:Cyc_8_ch_4,Na-K-ATPase - membranes:Cyc_9_ch_2,CD5 - T cells:Cyc_9_ch_3,IDO-1 - metabolism:Cyc_9_ch_4,Cytokeratin - epithelia:Cyc_10_ch_2,CD11b - macrophages:Cyc_10_ch_3,CD56 - NK cells:Cyc_10_ch_4,aSMA - smooth muscle:Cyc_11_ch_2,BCL-2 - apoptosis:Cyc_11_ch_3,CD25 - IL-2 Ra:Cyc_11_ch_4,CD11c - DCs:Cyc_12_ch_3,PD-1 - checkpoint:Cyc_12_ch_4,Granzyme B - cytotoxicity:Cyc_13_ch_2,EGFR - signaling:Cyc_13_ch_3,VISTA - costimulator:Cyc_13_ch_4,CD15 - granulocytes:Cyc_14_ch_2,ICOS - costimulator:Cyc_14_ch_4,Synaptophysin - neuroendocrine:Cyc_15_ch_3,GFAP - nerves:Cyc_16_ch_2,CD7 - T cells:Cyc_16_ch_3,CD3 - T cells:Cyc_16_ch_4,Chromogranin A - neuroendocrine:Cyc_17_ch_2,CD163 - macrophages:Cyc_17_ch_3,CD45RO - memory cells:Cyc_18_ch_3,CD68 - macrophages:Cyc_18_ch_4,CD31 - vasculature:Cyc_19_ch_3,Podoplanin - lymphatics:Cyc_19_ch_4,CD34 - vasculature:Cyc_20_ch_3,CD38 - multifunctional:Cyc_20_ch_4,CD138 - plasma cells:Cyc_21_ch_3,cell_id:cell_id,tile_nr:tile_nr,x,y,X_withinTile:X_withinTile,Y_withinTile:Y_withinTile,Z:Z,size:size,HOECHST1:Cyc_1_ch_1,CDX2 - intestinal epithelia:Cyc_2_ch_4,Collagen IV - bas. memb.:Cyc_12_ch_2,CD194 - CCR4 chemokine R:Cyc_14_ch_3,MMP9 - matrix metalloproteinase:Cyc_15_ch_2,CD71 - transferrin R:Cyc_15_ch_4,CD57 - NK cells:Cyc_17_ch_4,MMP12 - matrix metalloproteinase:Cyc_21_ch_4,DRAQ5:Cyc_23_ch_4,Profile_Homogeneity:Fiter1,ClusterSize,cell_type,neighborhood10,CD4+ICOS+,CD4+Ki67+,CD4+PD-1+,CD68+CD163+ICOS+,CD68+CD163+Ki67+,CD68+CD163+PD-1+,CD68+ICOS+,CD68+Ki67+,CD68+PD-1+,CD8+ICOS+,CD8+Ki67+,CD8+PD-1+,Treg-ICOS+,Treg-Ki67+,Treg-PD-1+,neighborhood number final,neighborhood name
189472,189472,189472,10675,173562,reg043_B,reg043,B,2,814,2,22,43_B,1916.730835,1594.231079,1797.972168,4224.450684,123.13269809999998,23.14807892,2274.0354,3005.458496,22.472072600000004,963.6815186,488.703125,1202.855835,967.1573486,103.3500977,99.1312561,754.6340942,131.35041809999998,1105.039673,0.004881064,128.506897,0.0,1787.9865719999998,236.0651398,93.99330139,2704.014648,582.1312866000001,9.314786911,351.6104736,222.9591675,650.0147095,361.1703796,0.000322,2966.829102,265.98440550000004,0.12858142,23.17656708,2.508630991,408.277771,0.522030056,117.5012741,0.0,152.1794739,1211.216187,381.9375,0.126349896,18.37885094,150.1506653,181.3358459,0.011430302,2074,43,16,168,766,1168,12,1573,470.4234924,628.3095703,8.086835861,4637.891113000001,0.631087661,2487.533203,51.01332855,35.88302612,1783.68689,6.41734457,7357,dirt,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
189475,189475,189475,10675,173565,reg043_B,reg043,B,2,817,2,22,43_B,231.82756040000004,346.3195496,20.19673157,1815.002319,44.54082108,0.376463294,682.9042357999999,2800.781006,0.252441108,0.0,0.0,0.0,0.0,32.33056641,0.0,0.0,56.20576859,0.0,0.002145839,52.21662521,6.531234264,1563.781982,247.7731628,3.921664953,1287.886841,519.7435912999999,0.238105565,0.0,146.98808290000002,0.0,249.8598633,0.001638751,1562.023193,162.05514530000002,0.007338514,3.827826738,0.0,0.0,0.0,45.94687271,0.0,4.680980682,390.6505737,155.7650146,0.0,3.0770175460000004,0.0,94.89992523,0.000401,2079,43,2,125,752,1125,10,5208,1105.839844,490.8236694,0.128012761,3120.831055,0.0482926,2493.070313,27.63273621,8.905830383,1289.8359380000002,5.680963516,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189478,189478,189478,10675,173568,reg043_B,reg043,B,2,820,2,22,43_B,0.0,0.0,0.0,740.4493408,9.84545517,0.0,0.0,2227.5354,0.0,0.0,0.0,0.0,0.0,2.77496767,0.0,0.0,17.50744438,0.0,0.0,18.80857468,0.0,1585.379761,296.8492432,0.0,638.8681641,482.5915222,0.0,0.0,176.8432159,0.0,201.1951447,0.0,728.7699585,129.6301117,0.0,0.0,0.0,0.0,0.0,14.54742813,0.000399,0.0,383.4109192,206.5456543,0.029301675,0.0,0.0,57.60979843,0.0,2084,43,6,164,756,1164,12,1152,882.8916626,421.2947083000001,0.0,2103.875,0.0,2161.589355,21.7144413,0.0,1029.138916,5.738644122999999,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189492,189492,189492,10675,173583,reg043_B,reg043,B,2,835,2,22,43_B,988.9512939,892.9258423,864.0197754000001,1727.0838620000002,82.08792877,3.039025784,1319.76123,2217.314453,3.313510418,432.1687012,12.28827763,425.9815979,364.7856445,55.42412567,272.6383972,262.12799069999994,78.24897766,204.7036591,0.0,71.68909454,0.506107748,927.8505859,216.6504364,40.15951157,1928.019165,652.8314819,1.953337312,63.98285294,345.2033081,169.1586151,262.631073,0.0,1915.840576,207.3608856,0.0,10.86200905,0.464166284,50.99732589999999,0.04587416,65.87419891,0.0,11.00918674,415.5212708,140.43508909999997,0.0,7.093122959,10.00097561,100.536438,0.0,2113,43,30,35,780,1035,12,2920,341.3946838,461.1607971,1.336420894,3781.317383,0.151373684,1813.84668,29.585886,15.09755135,1028.396606,6.120238304,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189499,189499,189499,10675,173590,reg043_B,reg043,B,2,842,2,22,43_B,197.3082733,444.4485474,90.83655548,1550.735596,45.15226364,0.0,1159.673096,3209.845947,0.0,0.0,8.131512642,0.0,0.0,29.94574738,0.0,0.0,53.32811737,0.0,0.000975,50.5213356,0.0,1769.345825,348.3419189,0.0,2034.576172,655.1403197999999,0.0,0.0,293.8665466,0.0,342.35150150000004,0.000254,2231.944336,221.2755585,0.007412695,2.790339947,0.0,0.0,0.0,43.68757248,0.0,0.0,458.6566162,191.7854919,0.0,1.70857811,0.0,89.08770752,0.000627,2128,43,29,22,779,1022,14,4165,1096.279785,528.295105,0.0,5094.398438,0.0,2781.229736,29.55101013,4.20068121,1201.451904,5.626697063,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189504,189504,189504,10675,173597,reg043_B,reg043,B,2,849,2,22,43_B,429.4172058,529.5574341,351.88705439999995,1043.961182,47.66611099,0.474079698,1056.7189939999998,3022.613037,0.03119896,137.7937775,12.58910084,121.5756378,108.22116090000002,34.63889313,2.667514324,30.15080643,52.74015045,48.68756104,0.0010718289999999,55.0700264,0.0,1714.589111,341.5415649,12.17019653,1902.185547,627.5991211,0.361511737,13.31899261,308.81555180000004,32.63244247,305.69149780000004,0.0,2041.829834,235.5042267,0.033097543,4.609427929,0.0,7.659357071,0.074155502,47.37108994,0.0,4.91054821,499.588562,112.4662018,1.091895223,2.842067957,6.110427856,113.3996353,0.0,2144,43,38,87,788,1087,8,7481,434.6017456,384.7411499,0.2190260289999999,3724.628662,0.039206877,2713.117188,28.6531868,7.664483547000001,908.9749146,4.998832226,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189506,189506,189506,10675,173599,reg043_B,reg043,B,2,851,2,22,43_B,904.1173096,869.6851196,850.7789307,1243.187012,63.49628067,14.64377213,1278.5352779999998,2342.15918,10.88862896,412.82052610000005,0.0,471.3392334,393.9150391,47.88087082,47.31298828,323.9856567,73.2665863,320.59320069999995,0.072426595,64.48901367,31.5529213,1363.595337,185.5983276,80.65532684,1810.315063,416.6656799,6.041609287000001,118.4584045,158.9667358,262.2046204,256.1569214,0.009569282,2086.13208,184.6435547,0.317355067,11.14255524,3.997853756,126.399704,1.310095549,59.31694412,0.000479,56.66553116,843.4665527000001,192.4511414,0.433177769,8.079381943,65.56726074,115.1071625,0.124616154,2147,43,27,145,777,1145,10,3426,583.3138428,321.493103,6.803595542999999,3679.845703,1.156687617,2625.022705,35.26083755,15.06272888,1178.333374,6.131757259,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189523,189523,189523,10675,173616,reg043_B,reg043,B,2,868,2,22,43_B,259.9353638,424.3958435,156.97589109999998,1671.658813,65.59203339,0.0,584.5367432,1972.744873,0.309999913,74.21669006,0.0,34.40853119,80.09467316,39.75308228,0.0,73.59592438,62.01686478,5.723916054,0.002696681,53.68535233,3.736479282,791.9248657,189.1420441,1.63767159,1164.544556,312.2256165,0.0,1.148386478,53.96954727,69.54072571,226.2143707,0.006370558,1265.680054,146.7204132,0.044542238,8.666415215,0.544518232,2.972284794,0.0,47.25155258,0.003186451,0.0,528.6847534,82.21854401,0.0,5.166588783,0.0,71.02746582,0.013890286,2177,43,45,107,795,1107,8,3481,1714.5732420000002,337.77539060000004,0.0,2759.446533,0.0,1488.810913,31.68192863,8.893611907999999,1612.077515,5.737344265,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189526,189526,189526,10675,173619,reg043_B,reg043,B,2,871,2,22,43_B,196.9959106,336.2093201,20.96173668,1441.294922,51.844944,0.619208395,528.5824585,2652.26709,0.346140325,19.29225731,0.0,2.775718212,1.090768456,40.61364365,14.13382244,35.94149399,58.81705093,5.852860927999999,0.007718559,58.62068558,0.5170748829999999,1954.481812,281.3010864,3.282843113,1539.963867,549.3953857000001,0.264001846,10.61244965,297.5992432,22.67726898,260.9507446,0.002592494,1554.939331,202.7220459,0.077961296,6.252291679,0.366981149,3.853205442,0.097001769,48.74664307,0.000833,8.3350811,618.7674561000001,163.8946991,0.0,4.626674652,2.143946886,76.66542053,0.010642602,2182,43,35,123,785,1123,7,2975,742.2037964,724.56604,0.352190524,3163.692139,0.033151221,1905.481201,30.77582169,10.10785484,1100.157227,5.876700877999999,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189529,189529,189529,10675,173622,reg043_B,reg043,B,2,874,2,22,43_B,401.798584,617.6789551,309.02615360000004,1712.719482,44.15058136,0.0,1281.002808,2499.2294920000004,0.0,71.66858673,0.0,47.18397903,66.82387543,29.86125755,0.0,43.13469315,44.34278107,14.64735699,0.002901292,44.01805878,0.0,1578.3161619999998,232.040863,0.0,1728.408936,418.7029114,0.0,3.37714839,128.8510284,10.47651291,260.7078857,0.000906,2029.084473,161.59771730000003,0.026723705,2.80919838,0.0,0.7600243090000001,0.006272366,40.16191483,0.000562,4.0759754180000005,564.81427,147.396637,0.546357214,2.0358629230000003,1.70625782,62.65630341,0.001733166,2186,43,46,46,796,1046,10,5149,870.7537231000001,518.4475098,0.0,4055.15918,0.0,1748.1024170000003,24.76263046,3.517299414,1210.990845,5.729157448,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189534,189534,189534,10675,173628,reg043_B,reg043,B,2,880,2,22,43_B,290.01263430000006,456.0249329,115.58581540000002,2306.870605,53.04917526,0.0,896.8753662,2634.790771,0.0,22.05926323,0.0,0.0,15.35752106,33.40460968,0.0,29.07161903,54.46287537,0.0,0.0,52.19186783,0.66065377,1083.591919,250.1530457,0.0,1549.893433,535.1098633,0.0,0.2682477239999999,130.9319916,0.0,258.58053590000003,0.0,1664.345093,179.7485352,0.0,3.330283642,0.0,0.0,0.0,47.24376297,0.0,7.0183491710000006,578.2579956000001,289.8713074,0.0,3.252517223,0.0,87.80677032,0.0,2194,43,57,88,807,1088,10,5905,1143.141846,582.4076537999999,0.0,3043.479248,0.0,2009.840576,22.05729675,5.527821063999999,1404.546875,5.69758749,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189542,189542,189542,10675,173636,reg043_B,reg043,B,2,888,2,22,43_B,580.645874,558.5561522999999,453.1409912,1779.875488,43.57437897,0.0,993.4664917,2236.844727,0.0,140.0102997,215.1475525,122.69551090000002,122.0122223,34.62604523,10.21535683,76.27407074,44.24736023,56.7304039,0.0,43.92254639,0.0,1165.131348,202.7034454,0.0,1456.204224,450.0996399,0.0,2.9605159760000004,159.2709045,25.20248985,205.4526367,0.0,1614.397461,167.7144775,0.0,0.622522593,0.0,0.0,0.0,37.10503769,0.0,21.78946686,827.7962646000001,255.6466675,0.617271483,1.046115994,0.0,55.66119766,0.0,2210,43,47,137,797,1137,10,12972,573.8190308,401.5067444,0.0,2714.537598,0.0,1622.380005,23.61745453,3.868682623,1139.782227,4.522121428999999,7357,dirt,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
189545,189545,189545,10675,173639,reg043_B,reg043,B,2,891,2,22,43_B,289.913208,389.9913025,38.82686996,1333.257202,60.21349716,0.300894797,869.0070801,3839.326416,0.468048781,0.0,8.358929633999999,1.721206665,0.0,41.69526672,0.683212936,5.522517681,72.65924072,9.071734428,0.0,66.06394196,8.883227348,1933.112427,394.8365784,2.668758631,1635.036499,668.1644897000001,0.177186444,7.683366776000001,400.1044617,3.120285749,350.0592651,0.0,1863.523804,223.8143768,0.0,6.9505777360000005,0.120699309,2.372615576,0.024079064,48.77159119,0.0,0.0,102.3855362,174.3354645,0.0,3.249746799,0.0,102.3093033,0.0,2214,43,55,34,805,1034,8,3487,1073.698486,565.126709,0.14040941,5991.720703,0.011798442,3393.787354,31.44644928,10.06992149,1108.12207,5.530586242999999,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189547,189547,189547,10675,173641,reg043_B,reg043,B,2,893,2,22,43_B,332.3885498,157.8235779,22.82415771,534.2191161999999,47.93759537,0.0,64.08524323,1765.0766600000002,0.0,0.0,0.0,0.0,0.0,34.22386169,0.0,0.0,54.30006409,68.92570496,0.0,42.88734436,22.26891708,0.0,174.7053528,0.0,324.0572205,311.1240234,0.0,0.0,62.41507339,4.476931572,142.2534332,0.0,218.6134491,104.1446304,0.252776414,2.923021555,0.0,0.0,0.0,28.24807167,0.0,49.09166336,7.090565681,304.63211060000003,0.7412511709999999,1.44304657,10.04929352,53.13241959,0.0,2219,43,52,193,802,1193,9,8698,1737.3017579999998,404.478241,0.0,1210.325317,0.0,1567.537476,9.849227905,4.721004486,1728.100464,5.07131958,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189554,189554,189554,10675,173648,reg043_B,reg043,B,2,900,2,22,43_B,351.37554930000005,505.408783,185.5644836,1649.502075,57.37530518,0.368804961,1017.134399,2873.763672,0.313588172,23.23319817,106.8902817,17.46809578,8.897245407,36.40341187,1.5283458230000002,23.66088676,58.8724556,14.66795826,0.0,55.05450821,0.0,2291.604248,315.0406799,0.934918106,1936.490356,546.6502075,0.0,7.669689655,212.89350890000003,66.84918976,302.2483215,0.0,1893.055298,188.8287964,0.0,5.686516762,1.35821259,2.814451694,0.039736938,48.32909775,0.0,8.655422211,772.0606688999999,188.4809265,0.0,4.331830978,0.179419279,88.04499817,0.0,2236,43,69,49,819,1049,14,3651,235.2512817,536.8771362000001,0.091799714,4906.657715,0.011566638,2497.67627,34.30156708,10.17956543,894.0690917999999,5.375838757,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189558,189558,189558,10675,173653,reg043_B,reg043,B,2,905,2,22,43_B,736.2313232000001,770.760437,584.4279785,1874.794312,55.67223739999999,0.0,1288.5115970000002,1989.011108,0.0,169.41708369999998,0.0,99.26883698,168.1909332,39.45595551,0.0,132.2705994,58.37301254,0.0,0.0,51.66875076,0.0,1357.3790279999998,212.1055603,0.0,1581.723022,405.10958860000005,0.0,0.0,138.0361481,22.47181702,198.9859161,0.0,1855.502441,154.2644043,0.0,4.515594959,0.0,0.0,0.0,44.36465454,0.0,49.75844955,1421.629883,258.39556880000004,0.0,4.438930988,0.0,90.66971588,0.0,2241,43,63,107,813,1107,14,2004,190.3033142,363.887207,0.0,2697.77124,0.0,1768.509155,38.47763443,12.84951401,849.6627808000001,6.0549016,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189562,189562,189562,10675,173657,reg043_B,reg043,B,2,909,2,22,43_B,579.463501,678.1553345,509.9034729,2360.684082,47.68801117,0.548388898,1253.467529,2437.30249,1.25671649,202.3013763,0.0,166.78698730000002,195.47619630000003,37.84742737,3.722799063,126.8924255,56.36301422,57.90882874,0.024362909,53.54401016,2.157530069,1434.51123,222.2591248,0.0,1683.003296,451.9960022,0.3553504939999999,24.79001427,137.11225890000003,62.36370087,240.8351746,0.006292955,1850.899414,167.2276764,0.04429533,3.968273401,0.798074782,7.284996986,0.340203971,42.70154953,0.000292,7.307908535,946.4701538,190.6963959,0.0,4.208281517,4.652365685,105.5847549,0.017810673,2248,43,69,99,819,1099,12,1292,882.7114257999999,472.6297913,0.806592345,3023.497803,0.280604988,1866.963501,28.35227585,7.725888728999999,1249.654053,6.0953321460000005,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189572,189572,189572,10675,173668,reg043_B,reg043,B,2,920,2,22,43_B,325.4577637,520.5363769999999,220.2505951,1587.594971,70.07060242,0.347994983,1066.501709,3882.432129,0.0524080279999999,78.00121307,55.93073654,39.7166214,79.3008728,34.39953232,6.067198277,25.74909782,71.20465851,5.203861713,0.09162692,68.32761383,2.996035337,1823.4104,454.682312,3.191130877,2181.977783,993.6685791,0.879738688,0.784967482,572.0279541,0.0,398.9331055,0.0233849979999999,2304.812988,275.3062744,0.426726192,2.18611455,0.451476425,1.893267274,0.278301984,52.63611221,0.022369962,5.792004108,333.1421204,355.75003050000004,0.0,1.249330521,0.0,105.3118591,0.053489707,2271,43,86,38,836,1038,7,18473,3202.683838,542.7676392000001,0.592075765,6908.413086,0.447683096,3529.066162,34.54074478,3.02564168,2844.77417,5.180786133,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189584,189584,189584,10675,173682,reg043_B,reg043,B,2,934,2,22,43_B,247.5453644,276.9568787,149.36518859999998,900.6273804,40.75936127,16.29596329,453.7256775,2579.022949,12.32383347,53.80448532,0.0,94.89865112,66.37789917,33.4760437,0.0,81.8640976,52.26704025,0.0,0.137458906,49.82799911,9.972618103,1602.873047,345.1831665,54.21669006,1053.59668,522.0774536,6.180384636,34.91244125,220.3963165,71.22854614,257.8598022,0.040511437,1290.243652,218.0079498,0.036127329,6.0823469160000005,3.4310672280000003,40.35115051,1.566748857,44.26408005,0.046335824,0.0,0.0,0.0,0.0,3.591294289,0.0,74.71199799,0.103263237,2307,43,81,171,831,1171,8,11822,1226.916748,350.5880432,5.329286098,3516.8164060000004,1.699111462,3199.08667,29.982351300000005,10.5809288,1285.002075,4.742092609,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189587,189587,189587,10675,173685,reg043_B,reg043,B,2,937,2,22,43_B,238.0367889,294.5856934,104.5243149,1180.864136,53.37153244,0.0,580.8681641,2369.819824,0.0,19.05508614,365.8045959,5.961679459,4.39418602,38.03275299,0.0,0.0,55.12268066,0.0,0.0,50.71705627,0.317113042,1344.996216,228.9284668,0.0,1039.055542,406.4353333,0.0928316709999999,0.0,149.0758362,6.304282187999999,243.0985565,0.0,1098.114624,163.8476868,0.0253872999999999,5.80944109,0.0,0.0,0.0,42.09600449,0.000491,0.0,0.0,76.87656403,7.93005085,3.017525673,2.683260441,67.62954712,0.0,2313,43,77,80,827,1080,8,15190,1375.52771,475.5137329,0.0,3437.897705,0.0,2206.783691,26.06571198,7.98773098,1443.994263,4.445965767,7357,dirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
